category_id,category_title,category_badge,category_kicker,subcategory_title,subcategory_label,product_title,product_desc,product_price,tags,image_url,product_url,orig_url
tech-electronics,01 • Tech & Electronics,Devices • Audio • Power,Power through lectures and campus life,Dorm Tech,Dorm essentials,Electric Kettle Mini,Fast-boil compact kettle,$29.99 ,Kettle,https://m.media-amazon.com/images/I/51o-cOhFFnL._AC_SX679_.jpg,https://amzn.to/4rqUEhP,https://www.amazon.com/Electric-Stainless-Shut-off-Portable-Business/dp/B0B4S9ZM9W
apparel-lifestyle,04 • Apparel & Lifestyle,Style • Carry • Wear,Show your campus style,Bags & Backpacks,Carry smarter,Samsonite Campus Backpack,"Classic 2.0 Everyday Backpack, 14.1""",$48.99 ,Backpack,"https://slimages.macysassets.com/is/image/MCY/products/9/optimized/21191549_fpx.tif?op_sharpen=1&wid=700&fit=fit,1&fmt=webp",https://sovrn.co/eg4mdmh,https://www.macys.com/shop/product/samsonite-classic-2.0-everyday-backpack-14.1?ID=13886456&tdp=cm_app~zMCOM-NAVAPP~xcm_zone~zPDP_ZONE_B~xcm_choiceId~zcidM06SHD-516cd042-b08e-4bfd-8e3b-e499351641d5@T00@More%2Bfrom%2B%2BSamsonite%2B$29722$23560392~xcm_pos~zPos11~xcm_srcCatID~z29722
curated-kits,08 • Curated Kits,Bundles • Value • Gifts,All-in-one packs,Starter Kits,Freshman must-haves,Freshman Starter Kit,Dorm & school combo,$38.99 ,Bundle,https://m.media-amazon.com/images/I/61mfToYnuRL._AC_SX679_.jpg,https://amzn.to/4aMSTnU,https://www.amazon.com/Mega-School-Supply-College-Students/dp/B0C7LJYH6Q/ref=sr_1_17?crid=28M41PE3YL4VH&dib=eyJ2IjoiMSJ9.1eUGxO8c4rGOmF89EFnIK5MebhrRgI9ULPz5-aAq1frgzgGQvqAHkPfQTIqgaNL58ZL0Ilp9f_OXn00OLckcz0OePnmXB75rd3bepgXv-TN7k_90twrRfX7OQyELCff7dp4rt7wMIrjx2wyLfiaI9DwTehuA7adakZfAvj65KEGx0n1FF-mnmCyHZg9KMsyzndR4k0wc4TDy7xKmhP_wrm-VBw4HW7bmOmfunWhNhRjQ4Nz7dec9avkaJD-Sk-eipqODBKdkiPkW89luH89YZLGmc6vIwvKQnQcrVmVqQew.6U2W3Mikhw83xE17swhnKhMldVdMQEpv9fA_2mjFJOc&dib_tag=se&keywords=college+bundle&qid=1771820751&sprefix=college+bundl%2Caps%2C138&sr=8-17
